Week,TEAM_1,TEAM_2,,,,,,,,,,,,,,,,
4,TEN,@HOU,,,,,,,,,,,,,,,,
4,WSH,@KC,,,,,,,,,,,,,,,,
5,ARI,@PHI,,,,,,,,,,,,,,,,
5,ATL,BYE,,,,,,,,,,,,,,,,
5,BAL,@OAK,,,,,,,,,,,,,,,,
5,BUF,@CIN,,,,,,,,,,,,,,,,
5,CAR,@DET,,,,,,,,,,,,,,,,
5,CHI,MIN,,,,,,,,,,,,,,,,
5,CIN,BUF,,,,,,,,,,,,,,,,
5,CLE,NYJ,,,,,,,,,,,,,,,,
5,DAL,GB,,,,,,,,,,,,,,,,
5,DEN,BYE,,,,,,,,,,,,,,,,
5,DET,CAR,,,,,,,,,,,,,,,,
5,GB,@DAL,,,,,,,,,,,,,,,,
5,HOU,KC,,,,,,,,,,,,,,,,
5,IND,SF,,,,,,,,,,,,,,,,
5,JAX,@PIT,,,,,,,,,,,,,,,,
5,KC,@HOU,,,,,,,,,,,,,,,,
5,LAR,SEA,,,,,,,,,,,,,,,,
5,LAC,@NYG,,,,,,,,,,,,,,,,
5,MIA,TEN,,,,,,,,,,,,,,,,
5,MIN,@CHI,,,,,,,,,,,,,,,,
5,NE,@TB,,,,,,,,,,,,,,,,
5,NO,BYE,,,,,,,,,,,,,,,,
5,NYG,LAC,,,,,,,,,,,,,,,,
5,NYJ,@CLE,,,,,,,,,,,,,,,,
5,OAK,BAL,,,,,,,,,,,,,,,,
5,PHI,ARI,,,,,,,,,,,,,,,,
5,PIT,JAX,,,,,,,,,,,,,,,,
5,SF,@IND,,,,,,,,,,,,,,,,
5,SEA,@LAR,,,,,,,,,,,,,,,,
5,TB,NE,,,,,,,,,,,,,,,,
5,TEN,@MIA,,,,,,,,,,,,,,,,
5,WSH,BYE,,,,,,,,,,,,,,,,
6,ARI,TB,,,,,,,,,,,,,,,,
6,ATL,MIA,,,,,,,,,,,,,,,,
6,BAL,CHI,,,,,,,,,,,,,,,,
6,BUF,BYE,,,,,,,,,,,,,,,,
6,CAR,PHI,,,,,,,,,,,,,,,,
6,CHI,@BAL,,,,,,,,,,,,,,,,
6,CIN,BYE,,,,,,,,,,,,,,,,
6,CLE,@HOU,,,,,,,,,,,,,,,,
6,DAL,BYE,,,,,,,,,,,,,,,,
6,DEN,NYG,,,,,,,,,,,,,,,,
6,DET,@NO,,,,,,,,,,,,,,,,
6,GB,@MIN,,,,,,,,,,,,,,,,
6,HOU,CLE,,,,,,,,,,,,,,,,
6,IND,@TEN,,,,,,,,,,,,,,,,
6,JAX,LAR,,,,,,,,,,,,,,,,
6,KC,PIT,,,,,,,,,,,,,,,,
6,LAR,@JAX,,,,,,,,,,,,,,,,
6,LAC,@OAK,,,,,,,,,,,,,,,,
6,MIA,@ATL,,,,,,,,,,,,,,,,
6,MIN,GB,,,,,,,,,,,,,,,,
6,NE,@NYJ,,,,,,,,,,,,,,,,
6,NO,DET,,,,,,,,,,,,,,,,
6,NYG,@DEN,,,,,,,,,,,,,,,,
6,NYJ,NE,,,,,,,,,,,,,,,,
6,OAK,LAC,,,,,,,,,,,,,,,,
6,PHI,@CAR,,,,,,,,,,,,,,,,
6,PIT,@KC,,,,,,,,,,,,,,,,
6,SF,@WSH,,,,,,,,,,,,,,,,
6,SEA,BYE,,,,,,,,,,,,,,,,
6,TB,@ARI,,,,,,,,,,,,,,,,
6,TEN,IND,,,,,,,,,,,,,,,,
6,WSH,SF,,,,,,,,,,,,,,,,
7,ARI,@LAR,,,,,,,,,,,,,,,,
7,ATL,@NE,,,,,,,,,,,,,,,,
7,BAL,@MIN,,,,,,,,,,,,,,,,
7,BUF,TB,,,,,,,,,,,,,,,,
7,CAR,@CHI,,,,,,,,,,,,,,,,
7,CHI,CAR,,,,,,,,,,,,,,,,
7,CIN,@PIT,,,,,,,,,,,,,,,,
7,CLE,TEN,,,,,,,,,,,,,,,,
7,DAL,@SF,,,,,,,,,,,,,,,,
7,DEN,@LAC,,,,,,,,,,,,,,,,
7,DET,BYE,,,,,,,,,,,,,,,,
7,GB,NO,,,,,,,,,,,,,,,,
7,HOU,BYE,,,,,,,,,,,,,,,,
7,IND,JAX,,,,,,,,,,,,,,,,
7,JAX,@IND,,,,,,,,,,,,,,,,
7,KC,@OAK,,,,,,,,,,,,,,,,
7,LAR,ARI,,,,,,,,,,,,,,,,
7,LAC,DEN,,,,,,,,,,,,,,,,
7,MIA,NYJ,,,,,,,,,,,,,,,,
7,MIN,BAL,,,,,,,,,,,,,,,,
7,NE,ATL,,,,,,,,,,,,,,,,
7,NO,@GB,,,,,,,,,,,,,,,,
7,NYG,SEA,,,,,,,,,,,,,,,,
7,NYJ,@MIA,,,,,,,,,,,,,,,,
7,OAK,KC,,,,,,,,,,,,,,,,
7,PHI,WSH,,,,,,,,,,,,,,,,
7,PIT,CIN,,,,,,,,,,,,,,,,
7,SF,DAL,,,,,,,,,,,,,,,,
7,SEA,@NYG,,,,,,,,,,,,,,,,
7,TB,@BUF,,,,,,,,,,,,,,,,
